"ActivityNames" "SubjectID" "TimeBodyAcceleroMean.X" "TimeBodyAcceleroMean.Y" "TimeBodyAcceleroMean.Z" "TimeBodyAcceleroStdDev.X" "TimeBodyAcceleroStdDev.Y" "TimeBodyAcceleroStdDev.Z" "TimeGravityAcceleroMean.X" "TimeGravityAcceleroMean.Y" "TimeGravityAcceleroMean.Z" "TimeGravityAcceleroStdDev.X" "TimeGravityAcceleroStdDev.Y" "TimeGravityAcceleroStdDev.Z" "TimeBodyAcceleroJerkMean.X" "TimeBodyAcceleroJerkMean.Y" "TimeBodyAcceleroJerkMean.Z" "TimeBodyAcceleroJerkStdDev.X" "TimeBodyAcceleroJerkStdDev.Y" "TimeBodyAcceleroJerkStdDev.Z" "TimeBodyGyroMean.X" "TimeBodyGyroMean.Y" "TimeBodyGyroMean.Z" "TimeBodyGyroStdDev.X" "TimeBodyGyroStdDev.Y" "TimeBodyGyroStdDev.Z" "TimeBodyGyroJerkMean.X" "TimeBodyGyroJerkMean.Y" "TimeBodyGyroJerkMean.Z" "TimeBodyGyroJerkStdDev.X" "TimeBodyGyroJerkStdDev.Y" "TimeBodyGyroJerkStdDev.Z" "TimeBodyAcceleroMagMean" "TimeBodyAcceleroMagStdDev" "TimeGravityAcceleroMagMean" "TimeGravityAcceleroMagStdDev" "TimeGravityAcceleroJerkMagMean" "TimeGravityAcceleroJerkMagStdDev" "TimeBodyGyroMagMean" "TimeBodyGyroMagStdDev" "TimeBodyGyroJerkMagMean" "TimeBodyGyroJerkMagStdDev" "FreqBodyAcceleroMean.X" "FreqBodyAcceleroMean.Y" "FreqBodyAcceleroMean.Z" "FreqBodyAcceleroStdDev.X" "FreqBodyAcceleroStdDev.Y" "FreqBodyAcceleroStdDev.Z" "FreqBodyAcceleroJerkMean.X" "FreqBodyAcceleroJerkMean.Y" "FreqBodyAcceleroJerkMean.Z" "FreqBodyAcceleroJerkStdDev.X" "FreqBodyAcceleroJerkStdDev.Y" "FreqBodyAcceleroJerkStdDev.Z" "FreqBodyGyroMean.X" "FreqBodyGyroMean.Y" "FreqBodyGyroMean.Z" "FreqBodyGyroStdDev.X" "FreqBodyGyroStdDev.Y" "FreqBodyGyroStdDev.Z" "FreqBodyAcceleroMagMean" "FreqBodyAcceleroMagStdDev" "FreqBodyBodyAcceleroJerkMagMean" "FreqBodyBodyAcceleroJerkMagStdDev" "FreqBodyBodyGyroMagMean" "FreqBodyBodyGyroMagStdDev" "FreqBodyBodyGyroJerkMagMean" "FreqBodyBodyGyroJerkMagStdDev"
"WALKING" 1 0.27733076 -0.01738382 -0.1111481 -0.28374026 0.11446134 -0.2600279 0.38020121 0.9352232 -0.28216502 -0.06810286 -0.97660964 -0.97130596 0.28126033 0.07404163 0.02827211 -0.00416841 -0.1136156 0.0670025 0.49055492 -0.04183096 -0.06953005 0.08494482 -0.47353549 -0.05460777 0.10770237 -0.08999754 -0.03984287 -0.04613093 -0.20742185 -0.30446851 -0.07155136 -0.13697118 0.0817513 -0.13697118 0.0817513 -0.14142881 0.20417766 -0.16097955 -0.18978924 -0.29870368 -0.18747154 -0.20279431 0.08971273 -0.33156012 -0.31913472 0.05604001 -0.91762654 -0.17054696 -0.03522552 -0.46899922 -0.13358661 0.10673986 -0.92259122 -0.3390322 -0.10305942 -0.25594094 -0.51669194 -0.03350816 -0.91941941 -0.12862345 -0.83507962 -0.0571194 -0.47802532 -0.19925257 -0.54082901 -0.31930859
"WALKING" 2 0.27642659 -0.01859492 -0.10550036 -0.42364284 -0.07809125 -0.42525752 0.36858248 0.91301733 -0.34660709 0.08472709 -0.9726932 -0.97211688 -0.06580903 0.06180807 0.01824927 0.00789534 -0.27753046 -0.01660224 0.22454871 -0.05302582 -0.04823823 0.08283366 -0.56155026 -0.53845367 -0.08012539 -0.08188334 -0.05382994 -0.05149392 -0.38954983 -0.63414044 -0.23343273 -0.29040759 0.17639653 -0.29040759 0.17639653 -0.28142415 0.37683052 -0.44654909 -0.01117086 -0.54791195 0.23773454 -0.34604816 -0.02190481 -0.45380637 -0.45765138 -0.16921969 -0.95059056 -0.30461532 -0.07876408 -0.55495671 -0.31431306 -0.01533295 -0.95338362 -0.42971354 -0.55477211 -0.39665991 -0.60405302 -0.53304695 -0.8941811 -0.32428943 -0.76465106 -0.16906435 -0.36875434 -0.53070481 -0.81646869 -0.58324929
"WALKING" 3 0.27556746 -0.01717678 -0.11267486 -0.36035673 -0.06991407 -0.38741199 0.4391071 0.93650674 -0.26198636 -0.13810787 -0.97777159 -0.96235564 0.11971791 0.08147459 0.01005915 -0.00562265 -0.26867964 -0.04496196 0.24405085 -0.02564052 -0.07791509 0.08134859 -0.57186956 -0.56379326 -0.17305662 -0.09523982 -0.03878747 -0.05036161 -0.38592299 -0.63908798 -0.2183606 -0.25469033 0.03348052 -0.25469033 0.03348052 -0.28000932 0.14026642 -0.46641175 -0.02155726 -0.56613522 -0.00914486 -0.31661401 -0.08130244 -0.41237407 -0.37927678 -0.12403083 -0.95197521 -0.30469444 -0.14050859 -0.51413726 -0.29659663 -0.00561499 -0.95514957 -0.43784576 -0.56152627 -0.41812622 -0.61512137 -0.56888867 -0.96778842 -0.29003154 -0.77593692 -0.18676452 -0.18628402 -0.56975577 -0.62136041 -0.60775165
"WALKING" 4 0.27858202 -0.01483995 -0.11140306 -0.44082997 -0.07882674 -0.58625281 0.18619935 0.9639997 -0.08585403 0.12776411 -0.98382649 -0.96796322 0.05645851 0.07835291 0.00295602 -0.00076768 -0.29704261 -0.22116513 0.2960456 -0.03179826 -0.07269053 0.08056772 -0.50091666 -0.66539409 0.14940346 -0.11532156 -0.03934745 -0.05511669 -0.49234107 -0.80741994 0.01464979 -0.31205057 -0.06788939 -0.31205057 -0.06788939 -0.36670088 0.06512678 -0.4977922 0.15292223 -0.68130404 -0.10522191 -0.42671945 -0.14939963 -0.63100547 -0.44723493 -0.10179945 -0.97895518 -0.35888341 -0.27955339 -0.7289916 -0.29732607 -0.20990001 -0.98044419 -0.37338454 -0.68846006 -0.60138113 -0.54264676 -0.65465777 -0.95104946 -0.45080456 -0.789539 -0.31858781 -0.16842409 -0.60928559 -0.58559047 -0.72432742
"WALKING" 5 0.27784235 -0.01728503 -0.10774178 -0.29409853 0.0767484 -0.45702144 0.38294276 0.97262496 -0.10044029 0.00247624 -0.97934838 -0.96158547 0.0719276 0.08458888 -0.01631941 8.322e-05 -0.30289102 -0.09103974 0.36141506 -0.04889199 -0.06901352 0.08154355 -0.4908775 -0.50462203 -0.1013119 -0.08884084 -0.04495595 -0.04826796 -0.3576814 -0.57143812 -0.11221731 -0.15833867 -0.10507979 -0.15833867 -0.10507979 -0.28833302 -0.01362217 -0.35593308 -0.0147825 -0.44453249 0.18681767 -0.28778261 0.00946038 -0.49025109 -0.29751736 0.04260268 -0.96355915 -0.34495481 -0.18105555 -0.59049662 -0.32139032 -0.05452136 -0.96658287 -0.37266875 -0.51395172 -0.21312703 -0.52939279 -0.50268338 -0.90910745 -0.30499249 -0.85211496 -0.26948166 -0.48482549 -0.48426283 -0.72169765 -0.54805357
"WALKING" 6 0.28365887 -0.01689542 -0.11030317 -0.29653872 0.16421388 -0.50432421 0.36635406 0.95806746 -0.21469485 0.03318888 -0.9777799 -0.96424857 0.01691397 0.06995859 -0.01648317 -0.00738931 -0.13278477 0.00808897 0.3220725 -0.02550962 -0.07444625 0.08388088 -0.44602095 -0.33170227 -0.04317882 -0.08788911 -0.0362309 -0.05395973 -0.18260093 -0.41639025 -0.24212603 -0.16684071 0.04308215 -0.16684071 0.04308215 -0.19511703 0.05835838 -0.28120784 -0.00101346 -0.32129048 0.02835221 -0.18793432 0.14078162 -0.49852016 -0.34522769 0.10169964 -0.91899288 -0.15094292 -0.07537423 -0.54143862 -0.19269469 0.03144507 -0.91741695 -0.23965071 -0.34137843 -0.20357546 -0.51532385 -0.33200871 -0.79077662 -0.20138661 -0.72362471 -0.05540142 -0.59155113 -0.32968112 -0.82767226 -0.36650053
"WALKING" 7 0.27559296 -0.01865367 -0.11091223 -0.32724324 -0.07726186 0.15963128 0.60206423 0.93256647 -0.159097 -0.16084692 -0.97985127 -0.96940416 0.42421227 0.09014626 0.01843227 -0.02103986 -0.34602623 -0.05474489 0.54661481 0.00228835 -0.08371137 0.06411046 -0.50331352 -0.23109831 0.04063279 -0.1236542 -0.0447766 -0.04957131 -0.2116673 -0.17413641 -0.38445866 -0.09780904 -0.09230809 -0.09780904 -0.09230809 -0.1929489 0.0794142 -0.30595935 0.08493109 -0.30002278 0.47971797 -0.34304841 -0.06415642 0.03858323 -0.32203491 -0.14372182 -0.83000385 -0.3837158 -0.12319289 -0.10649037 -0.36531479 -0.04319175 -0.82654475 -0.3183951 -0.15196669 -0.36673362 -0.56361526 -0.29085938 -0.91371638 -0.15124365 -0.61452138 -0.03841873 -0.20516801 -0.19290977 -0.56126498 -0.15533986
"WALKING" 8 0.27468631 -0.01866289 -0.10725209 -0.17360574 0.38078205 -0.14208853 0.16812397 0.91358635 -0.21710219 -0.18626784 -0.97475205 -0.95678151 -0.15543173 0.07033935 -0.00603948 -0.0006738 -0.25868863 0.23398754 0.36750657 0.02350882 -0.09579179 0.05096579 -0.19920972 -0.21199728 0.25868956 -0.13588643 -0.03148809 -0.0522684 -0.24608275 -0.4280557 0.07481004 0.05167863 -0.12289699 0.05167863 -0.12289699 -0.06683224 -0.326516 -0.00310244 -0.00825722 -0.33912927 -0.25538363 -0.24738901 0.31698239 -0.23863459 -0.14838686 0.32484493 -0.8786612 -0.31119871 0.07968329 -0.36156326 -0.27144819 0.31588354 -0.88939791 -0.10206305 -0.25972969 -0.1329022 -0.23425201 -0.19080572 -0.95374412 -0.09521728 -0.78811442 -0.12383441 -0.72362114 -0.30124185 -0.47544165 -0.47302623
"WALKING" 9 0.27850284 -0.0180892 -0.11082051 -0.23835356 -0.20169696 -0.05796365 -0.04667571 0.95186708 -0.03143417 -0.11585612 -0.98097197 -0.97124242 -0.17615628 0.07043573 0.02122559 0.00414763 -0.20673379 -0.27692993 -0.12370668 -0.08083606 -0.06255987 0.11162978 -0.47616351 -0.46705417 0.10255169 -0.08092041 -0.03562834 -0.06334066 -0.52698531 -0.54920023 0.15667306 -0.09808405 0.00081198 -0.09808405 0.00081198 -0.20373362 -0.06458591 -0.29454227 -0.27771079 -0.510254 -0.10991331 -0.29471116 -0.25767762 -0.25080626 -0.21801998 -0.22397256 -0.92267911 -0.3142654 -0.3677066 -0.39954125 -0.17022834 -0.22838047 -0.92281061 -0.38367612 -0.43690586 -0.24022251 -0.50740451 -0.49099034 -0.9513225 -0.31880102 -0.77299325 -0.31687072 -0.01959315 -0.51379748 -0.67042707 -0.60258162
"WALKING" 10 0.27857408 -0.01702235 -0.10905751 -0.17870973 -0.02274317 -0.39564507 -0.06118486 0.96309215 -0.0838277 0.05492762 -0.97443516 -0.97111472 -0.02449502 0.08579438 0.00408249 -0.01629532 -0.0521991 0.0750805 -0.09756118 0.0106895 -0.08195408 0.09866957 -0.41420548 -0.25085332 -0.12784516 -0.12270956 -0.0519205 -0.06112629 -0.36606372 -0.50968333 -0.13918314 -0.12740091 -0.11156264 -0.12740091 -0.11156264 -0.13262499 0.26475817 -0.15645873 0.0932162 -0.44036364 -0.09445892 -0.11419 0.05339119 -0.41218272 -0.2063665 -0.12977571 -0.88954564 -0.10794111 0.0309052 -0.46402051 -0.07915183 0.04848677 -0.89049598 -0.27791378 -0.34520903 -0.10853003 -0.45829293 -0.20439282 -0.89633927 -0.09302374 -0.82053159 0.02051895 -0.54773417 -0.41261691 -0.8288283 -0.51506534
